AIR_TIME,ARR,ARR_Pr,ARR_delay_time,ARR_delay_times,DEP,DEP_Pr,DEP_delay_time,DEP_delay_times,DISTANCE,total_flight
125.6626506,ATL,0.120481928,77.6,10,ALB,0.180722892,45.93333333,15,853,83
51.69491525,BWI,0.15819209,54.35714286,28,ALB,0.169491525,53.1,30,289,177
101.1609195,CLT,0.264367816,66.43478261,23,ALB,0.264367816,61.91304348,23,646,87
59.1637931,DCA,0.163793103,116.9473684,19,ALB,0.181034483,119.1904762,21,318,116
210.2903226,DEN,0.290322581,60.11111111,9,ALB,0.419354839,54.30769231,13,1610,31
75.02803738,DTW,0.056074766,100.8333333,6,ALB,0.102803738,72,11,489,107
32.27152318,EWR,0.198675497,81.03333333,30,ALB,0.185430464,82.10714286,28,143,151
161.4193548,FLL,0.177419355,106.5454545,11,ALB,0.209677419,95.76923077,13,1204,62
63.05194805,IAD,0.155844156,108.6666667,12,ALB,0.181818182,102.4285714,14,325,77
146.6515152,MCO,0.257575758,51.29411765,17,ALB,0.181818182,63.33333333,12,1073,66
104.6935484,MDW,0.258064516,62.875,16,ALB,0.290322581,55.83333333,18,717,62
133.6153846,MSP,0.038461538,65,1,ALB,0.076923077,48.5,2,980,26
104.6054054,ORD,0.156756757,115.2758621,29,ALB,0.194594595,105.1111111,36,723,185
44.98787879,PHL,0.187878788,82.09677419,31,ALB,0.163636364,93.33333333,27,212,165
153.8064516,TPA,0.258064516,82.125,8,ALB,0.322580645,67.5,10,1130,31
42.76785714,ORD,0.232142857,68.07692308,13,ALO,0.232142857,60.46153846,13,234,56
46.9125,SEA,0.125,54.4,10,ALW,0.075,68.33333333,6,213,80
51.34482759,DAL,0.181034483,82.0952381,21,AMA,0.181034483,84,21,323,116
55.57377049,DEN,0.114754098,115.5714286,7,AMA,0.114754098,116,7,359,61
46.5,DFW,0.16509434,84.05714286,35,AMA,0.174528302,83.02702703,37,312,212
82.01190476,IAH,0.166666667,145.9285714,14,AMA,0.166666667,140.0714286,14,517,84
103.8709677,LAS,0.193548387,37.83333333,6,AMA,0.290322581,36.55555556,9,758,31
86.41935484,PHX,0.032258065,43,1,AMA,0,0,0,602,31
169.25,ADK,0,0,0,ANC,0,0,0,1192,8
41.72413793,ADQ,0.120689655,45.85714286,7,ANC,0.155172414,35.22222222,9,253,58
48.16129032,AKN,0.032258065,73,1,ANC,0.032258065,65,1,288,31
365.9677419,ATL,0.225806452,200.7142857,7,ANC,0.290322581,169.7777778,9,3417,31
56.65714286,BET,0.057142857,38,4,ANC,0.057142857,44,4,399,70
32.35483871,CDV,0.161290323,45.8,5,ANC,0.129032258,38.25,4,160,31
273.5555556,DEN,0.19047619,69.58333333,12,ANC,0.253968254,65.625,16,2405,63
348.4193548,DFW,0.483870968,119.3333333,15,ANC,0.548387097,114.4705882,17,3043,31
52.83870968,DLG,0.064516129,33.5,2,ANC,0.064516129,24,2,329,31
124.2253521,DUT,0.38028169,42.37037037,27,ANC,0.197183099,44.42857143,14,792,71
389,EWR,0,0,0,ANC,0.25,34,1,3370,4
41.21717172,FAI,0.075757576,51.4,15,ANC,0.070707071,54,14,261,198
344.7741935,HNL,0.064516129,59.5,2,ANC,0.064516129,59,2,2777,31
372.0645161,IAH,0.129032258,75,4,ANC,0.225806452,60.85714286,7,3266,31
79.16666667,JNU,0.058333333,79.42857143,7,ANC,0.075,67.33333333,9,571,120
282.952381,LAX,0.05952381,58.6,5,ANC,0.05952381,56.8,5,2345,84
290.1397849,MSP,0.086021505,36.5,8,ANC,0.096774194,44.66666667,9,2519,93
74.05555556,OME,0.027777778,119,1,ANC,0.055555556,61.5,2,539,36
335.2727273,ORD,0.154545455,127.4117647,17,ANC,0.190909091,113.4285714,21,2846,110
74.67857143,OTZ,0,0,0,ANC,0,0,0,548,56
191.4551724,PDX,0.089655172,53.61538462,13,ANC,0.082758621,66.91666667,12,1542,145
304.8064516,PHX,0.161290323,43.2,5,ANC,0.193548387,53.5,6,2552,31
83.27419355,SCC,0.080645161,42,5,ANC,0.096774194,47.66666667,6,626,62
178.4609844,SEA,0.032412965,44.7037037,27,ANC,0.045618247,45.07894737,38,1448,833
247.5483871,SFO,0.193548387,47,6,ANC,0.290322581,43.11111111,9,2018,31
244,SLC,0,0,0,ANC,0,0,0,2125,24
42.23333333,DTW,0.266666667,64.5,8,APN,0.166666667,79.6,5,198,30
19.23809524,PLN,0.142857143,140.3333333,3,APN,0.142857143,139,3,69,21
51.5,PHL,0.129032258,72.25,8,ART,0.112903226,83.42857143,7,287,62
22.85957447,DEN,0.131914894,157.0322581,31,ASE,0.136170213,155.34375,32,125,235
64.55172414,DFW,0.24137931,66,7,ASE,0.310344828,67.66666667,9,701,29
122.3548387,IAH,0.322580645,42.5,10,ASE,0.35483871,41.54545455,11,913,31
81.70175439,LAX,0.210526316,74.25,24,ASE,0.192982456,91.31818182,22,737,114
105.4153846,ORD,0.230769231,111.0666667,15,ASE,0.215384615,126,14,1013,65
111,SFO,0.290322581,64.55555556,9,ASE,0.322580645,68.1,10,848,31
45.11290323,SLC,0.161290323,144.6,10,ASE,0.161290323,157.4,10,292,62
94.42168675,ABE,0.120481928,68.4,10,ATL,0.168674699,52.28571429,14,692,83
159.1505376,ABQ,0.161290323,78.33333333,15,ATL,0.204301075,65.52631579,19,1269,93
28.85393258,ABY,0.224719101,81.95,20,ATL,0.202247191,97.66666667,18,145,89
85.93548387,ACY,0.290322581,101,9,ATL,0.35483871,79.72727273,11,679,31
74.38596491,AEX,0.192982456,50.72727273,22,ATL,0.175438596,53.05,20,500,114
29.91855204,AGS,0.194570136,73.74418605,43,ATL,0.199095023,66.22727273,44,143,221
111.1807229,ALB,0.253012048,56.71428571,21,ATL,0.289156627,57.83333333,24,853,83
401.6129032,ANC,0.193548387,76.16666667,6,ATL,0.322580645,100.6,10,3417,31
104.2363636,ATW,0.163636364,98.22222222,9,ATL,0.2,91.54545455,11,765,55
107.3827893,AUS,0.225519288,67.43421053,76,ATL,0.264094955,60.71910112,89,813,337
34.54978355,AVL,0.12987013,75.2,30,ATL,0.116883117,75.62962963,27,164,231
92.03225806,AVP,0.129032258,170.25,4,ATL,0.193548387,129.5,6,714,31
112.2311558,BDL,0.150753769,73.03333333,30,ATL,0.180904523,68.58333333,36,859,199
29.57189542,BHM,0.222222222,61.73529412,68,ATL,0.225490196,62.5942029,69,134,306
75.74698795,BMI,0.204819277,52.47058824,17,ATL,0.253012048,46.85714286,21,533,83
37.65448505,BNA,0.186046512,76.35714286,56,ATL,0.219269103,70.46969697,66,214,301
124.5323855,BOS,0.28436019,74.42777778,180,ATL,0.292259084,74.00540541,185,946,633
43.91304348,BQK,0.130434783,65.66666667,12,ATL,0.108695652,72,10,238,92
63.92195122,BTR,0.175609756,55.30555556,36,ATL,0.214634146,51.88636364,44,448,205
121.5555556,BTV,0.277777778,52.86666667,15,ATL,0.37037037,46.75,20,961,54
93.93918919,BUF,0.128378378,73.89473684,19,ATL,0.182432432,56.81481481,27,712,148
83.10648918,BWI,0.244592346,76.93197279,147,ATL,0.276206323,72.95180723,166,577,601
212.2352941,BZN,0.117647059,101,2,ATL,0.117647059,106,2,1640,17
34.66666667,CAE,0.198198198,67.40909091,44,ATL,0.22972973,62.05882353,51,192,222
73.54117647,CAK,0.211764706,76.5,18,ATL,0.2,83.35294118,17,528,85
24.49450549,CHA,0.223443223,71.06557377,61,ATL,0.194139194,74.50943396,53,106,273
68.00724638,CHO,0.094202899,68.61538462,13,ATL,0.123188406,58.58823529,17,457,138
42.59433962,CHS,0.116352201,64.2972973,37,ATL,0.147798742,60.61702128,47,259,318
96.73076923,CID,0.205128205,58.5,16,ATL,0.205128205,61.375,16,694,78
76.3713355,CLE,0.179153094,67.09090909,55,ATL,0.201954397,73.03225806,62,554,307
42.82867784,CLT,0.156424581,78.22619048,84,ATL,0.193668529,73.95192308,104,226,537
66.40882353,CMH,0.185294118,65.98412698,63,ATL,0.217647059,63.04054054,74,447,340
148.0666667,COS,0.333333333,47.53333333,15,ATL,0.311111111,51.21428571,14,1184,45
57.34782609,CRW,0.123188406,50.70588235,17,ATL,0.101449275,48.42857143,14,363,138
21.2300885,CSG,0.132743363,86.26666667,15,ATL,0.150442478,79.11764706,17,83,113
57.67045455,CVG,0.117424242,94.83870968,31,ATL,0.151515152,82.6,40,373,264
55.13017751,DAB,0.195266272,70.66666667,33,ATL,0.171597633,78.13793103,29,366,169
98.25,DAL,0.190972222,65.30909091,55,ATL,0.25,61.02777778,72,721,288
63.29661017,DAY,0.110169492,111,13,ATL,0.161016949,88.68421053,19,432,118
78.80769231,DCA,0.202341137,63.37190083,121,ATL,0.192307692,66.48695652,115,547,598
159.6309524,DEN,0.232993197,68.88321168,137,ATL,0.239795918,66.95744681,141,1199,588
100.9731438,DFW,0.224328594,77.80985915,142,ATL,0.24328594,74.56493506,154,731,633
33.42982456,DHN,0.131578947,55.26666667,15,ATL,0.184210526,42.04761905,21,170,114
101.0232558,DSM,0.127906977,44.90909091,11,ATL,0.151162791,48.53846154,13,743,86
85.77777778,DTW,0.183235867,84.45744681,94,ATL,0.245614035,73.31746032,126,594,513
39.42934783,ECP,0.206521739,83.65789474,38,ATL,0.239130435,79.06818182,44,240,184
157.6144578,ELP,0.084337349,54.42857143,7,ATL,0.180722892,43.6,15,1282,83
55.55434783,EVV,0.217391304,60.05,20,ATL,0.173913043,68.3125,16,350,92
65.5483871,EWN,0.241935484,66.6,15,ATL,0.225806452,71.85714286,14,433,62
102.6209262,EWR,0.341337907,116.1407035,199,ATL,0.36535163,114.4366197,213,746,583
88.125,EYW,0.1953125,64.84,25,ATL,0.203125,61.03846154,26,646,128
52.73611111,FAY,0.152777778,72.09090909,22,ATL,0.138888889,74.45,20,331,144
237.25,FCA,0.25,212,1,ATL,0.25,221,1,1842,4
85.91364205,FLL,0.227784731,73.62087912,182,ATL,0.251564456,72.66169154,201,581,799
88.82352941,FNT,0.105882353,75,9,ATL,0.152941176,56.23076923,13,645,85
124.5925926,FSD,0.185185185,71.2,5,ATL,0.148148148,78,4,954,27
86.0877193,FSM,0.192982456,64.09090909,11,ATL,0.140350877,72,8,579,57
75.37606838,FWA,0.153846154,53.27777778,18,ATL,0.188034188,46.5,22,508,117
48.78756477,GNV,0.207253886,85.6,40,ATL,0.191709845,85.08108108,37,300,193
54.47101449,GPT,0.260869565,69.22222222,36,ATL,0.231884058,64.8125,32,352,138
102.6538462,GRB,0.230769231,122.6666667,12,ATL,0.230769231,121.1666667,12,774,52
85.32413793,GRR,0.144827586,53.14285714,21,ATL,0.179310345,53.61538462,26,640,145
48.85585586,GSO,0.157657658,69.91428571,35,ATL,0.171171171,64.73684211,38,306,222
29.79495268,GSP,0.205047319,72.90769231,65,ATL,0.230283912,73.5890411,73,153,317
43.62921348,GTR,0.134831461,96.41666667,12,ATL,0.123595506,91,11,241,89
527.8387097,HNL,0.032258065,53,1,ATL,0.096774194,55.66666667,3,4502,31
96,HOU,0.215053763,60.8,80,ATL,0.255376344,57.78947368,95,696,372
114.4536082,HPN,0.25257732,78.91836735,49,ATL,0.237113402,76.69565217,46,780,194
31.70560748,HSV,0.135514019,71.17241379,29,ATL,0.144859813,69.4516129,31,151,214
78.08579088,IAD,0.190348525,70.71830986,71,ATL,0.214477212,64.575,80,534,373
97.45,IAH,0.175,77.41558442,77,ATL,0.181818182,72.0875,80,689,440
106.0930233,ICT,0.174418605,75.26666667,15,ATL,0.186046512,72.625,16,782,86
57.42076503,ILM,0.142076503,78.30769231,26,ATL,0.147540984,76.07407407,27,377,183
63.93261456,IND,0.210242588,59.44871795,78,ATL,0.237196765,59.61363636,88,432,371
109.9411765,ISP,0.294117647,72,5,ATL,0.352941176,72.5,6,795,17
183.6818182,JAC,0.181818182,75.75,4,ATL,0.136363636,90,3,1572,22
